"","x1","x2","x3","f1","f2","order"
"1",0,0,0,0,26.125,0
"2",0.5,0,0,0.5,22.875,0
"3",1,0,0,1,21.5288059222874,0
"4",0,0.5,0,0,21.0625,0
"5",0.5,0.5,0,0.5,18.0159855982615,0
"6",1,0.5,0,1,16.7540780150965,0
"7",0,1,0,0,26.125,0
"8",0.5,1,0,0.5,22.875,0
"9",1,1,0,1,21.5288059222874,0
"10",0,0,0.5,0,21.0625,0
"11",0.5,0,0.5,0.5,18.0159855982615,0
"12",1,0,0.5,1,16.7540780150965,0
"13",0,0.5,0.5,0,16,0
"14",0.5,0.5,0.5,0.5,13.1715728752538,0
"15",1,0.5,0.5,1,12,0
"16",0,1,0.5,0,21.0625,0
"17",0.5,1,0.5,0.5,18.0159855982615,0
"18",1,1,0.5,1,16.7540780150965,0
"19",0,0,1,0,26.125,0
"20",0.5,0,1,0.5,22.875,0
"21",1,0,1,1,21.5288059222874,0
"22",0,0.5,1,0,21.0625,0
"23",0.5,0.5,1,0.5,18.0159855982615,0
"24",1,0.5,1,1,16.7540780150965,0
"25",0,1,1,0,26.125,0
"26",0.5,1,1,0.5,22.875,0
"27",1,1,1,1,21.5288059222874,0
"28",0.0508023612201214,0.0309203506913036,0.315565168275498,0.0508023612201214,23.7977192077428,0
"29",0.300264359684661,0.0867208290146664,0.300147891975939,0.300264359684661,20.6968064117219,0
"30",0.131063889479265,0.0560937334084883,0.292452581459656,0.131063889479265,22.3320522606771,0
"31",0.483484470401891,0.455383274354972,0.926481656963006,0.483484470401891,15.8330677758271,0
"32",0.155946870800108,0.234705466544256,0.932478911010548,0.155946870800108,20.9793324062734,0
"33",0.0746995172230527,0.476602356880903,0.638903049286455,0.0746995172230527,19.0791938984648,0
"34",0.483948729699478,0.841308279079385,0.337147399666719,0.483948729699478,19.8074907270411,0
"35",0.31186381704174,0.802809025277384,0.291437172447331,0.31186381704174,22.0513969206378,0
"36",0.00221392477396876,0.810795920551755,0.182356723584235,0.00221392477396876,21.7082193015176,0
"37",0.422865585424006,0.773676687502302,0.871261573513038,0.422865585424006,19.0413024393846,0
"38",0.220238822046667,0.577539350138977,0.764055918320082,0.220238822046667,20.0745106700999,0
"39",0.452386767836288,0.957195988739841,0.505157806328498,0.452386767836288,16.3204556978348,0
"40",0.891312923282385,0.378731593140401,0.272952396422625,0.891312923282385,20.1405540725976,0
"41",0.578623431152664,0.0210143534932286,0.0398336967919022,0.578623431152664,19.9462585301083,0
"42",0.919365821173415,0.160397204570472,0.329941567382775,0.919365821173415,18.7726534484398,0
"43",0.623262808658183,0.141227051150054,0.975359148578718,0.623262808658183,18.3345337891347,0
"44",0.652044228161685,0.366470799897797,0.607233925606124,0.652044228161685,19.0064334544826,0
"45",0.966674776282161,0.35484645573888,0.72385336633306,0.966674776282161,20.7710675616958,0
"46",0.874385880539194,0.534788194578141,0.402398002916016,0.874385880539194,14.8284851282696,0
"47",0.729224231559783,0.734211769071408,0.320097167976201,0.729224231559783,22.1019817822128,0
"48",0.871190156321973,0.941158991889097,0.403268771478906,0.871190156321973,16.9063202012433,0
"49",0.96198348980397,0.957698536803946,0.522273767041042,0.96198348980397,15.1989559914544,0
"50",0.806521483347751,0.659775568288751,0.850145268021151,0.806521483347751,18.6208353466889,0
"51",0.543916239403188,0.572413181187585,0.946839458192699,0.543916239403188,17.0554315883504,0
"52",0.226464772610055,0.510904341605625,0.505416139855758,0.226464772610055,14.1408981981294,1
"53",0.906164587584249,0.531133333837397,0.509784125144844,0.906164587584249,12.487501912699,2
"54",0.0814876444290697,0.524954758843626,0.516513188100501,0.0814876444290697,15.1308738214156,3
"55",0.672384582921796,0.512025859922442,0.497237791615682,0.672384582921796,12.7636234738519,4
"56",0.342770355256267,0.513686291558843,0.514507134357156,0.342770355256267,13.7754618178062,5
"57",1,0.506417924030823,0.47951949850264,1,12.1280775511246,6
"58",0.129161111651694,0.541815657267927,0.492628470864818,0.129161111651694,15.0939031730038,7
"59",0.810358960236219,0.493424004259689,0.493832450963773,0.810358960236219,12.4222642814767,8
"60",0.149268878038659,0.514078740759729,0.506854949053062,0.149268878038659,14.5288252807953,9
"61",0.400940311026758,0.510265190457726,0.496543865698486,0.400940311026758,13.5016624460917,10
"62",0.024470290366392,0.519583899665309,0.50048649676879,0.024470290366392,15.4933534933399,11
"63",0.886077542985185,0.503656578250742,0.502022889871822,0.886077542985185,12.2396619472658,12
