"","x1","x2","x3","f1","f2","order","f1.norm","f2.norm","theta","dist"
"1",0,0,0,0,21.125,0,0,21.125,100,20.125
"2",0.25,0,0,0.25,18.8269029611437,0,0.25,18.8269029611437,99.1546905516105,17.8836491014521
"3",0.5,0,0,0.5,17.875,0,0.5,17.875,98.2197096152545,16.991172315689
"4",0.75,0,0,0.75,17.1445791679773,0,0.75,17.1445791679773,97.2168426969351,16.3215024959374
"5",1,0,0,1,16.5288059222874,0,1,16.5288059222874,96.1531115051552,15.7557125509007
"6",0,0.25,0,0,28.1491928118655,0,0,28.1491928118655,100,27.1491928118655
"7",0.25,0.25,0,0.25,25.4964021674749,0,0.25,25.4964021674749,99.375794899442,24.5389162899982
"8",0.5,0.25,0,0.5,24.3975803044318,0,0.5,24.3975803044318,98.6955045117525,23.4851781950949
"9",0.75,0.25,0,0.75,23.5544246339376,0,0.75,23.5544246339376,97.9736139849649,22.6887359140765
"10",1,0.25,0,1,22.8436115230842,0,1,22.8436115230842,97.2149168241394,22.0261082839495
"11",0,0.5,0,0,11.0625,0,0,11.0625,100,10.0625
"12",0.25,0.5,0,0.25,9.39948316304374,0,0.25,9.39948316304374,98.3071683100935,8.50719994090646
"13",0.5,0.5,0,0.5,8.71063903472165,0,0.5,8.71063903472165,96.3497399387246,7.91595466750572
"14",0.75,0.5,0,0.75,8.18207034454927,0,0.75,8.18207034454927,94.1807604988966,7.46576345686347
"15",1,0.5,0,1,7.73646632608748,0,1,7.73646632608748,91.8165555097333,7.08250282142668
"16",0,0.75,0,0,28.1491928118655,0,0,28.1491928118655,100,27.1491928118655
"17",0.25,0.75,0,0.25,25.4964021674749,0,0.25,25.4964021674749,99.375794899442,24.5389162899982
"18",0.5,0.75,0,0.5,24.3975803044318,0,0.5,24.3975803044318,98.6955045117525,23.4851781950949
"19",0.75,0.75,0,0.75,23.5544246339376,0,0.75,23.5544246339376,97.9736139849649,22.6887359140765
"20",1,0.75,0,1,22.8436115230842,0,1,22.8436115230842,97.2149168241394,22.0261082839495
"21",0,1,0,0,21.125,0,0,21.125,100,20.125
"22",0.25,1,0,0.25,18.8269029611437,0,0.25,18.8269029611437,99.1546905516105,17.8836491014521
"23",0.5,1,0,0.5,17.875,0,0.5,17.875,98.2197096152545,16.991172315689
"24",0.75,1,0,0.75,17.1445791679773,0,0.75,17.1445791679773,97.2168426969351,16.3215024959374
"25",1,1,0,1,16.5288059222874,0,1,16.5288059222874,96.1531115051552,15.7557125509007
"26",0,0,0.25,0,28.1491928118655,0,0,28.1491928118655,100,27.1491928118655
"27",0.25,0,0.25,0.25,25.4964021674749,0,0.25,25.4964021674749,99.375794899442,24.5389162899982
"28",0.5,0,0.25,0.5,24.3975803044318,0,0.5,24.3975803044318,98.6955045117525,23.4851781950949
"29",0.75,0,0.25,0.75,23.5544246339376,0,0.75,23.5544246339376,97.9736139849649,22.6887359140765
"30",1,0,0.25,1,22.8436115230842,0,1,22.8436115230842,97.2149168241394,22.0261082839495
"31",0,0.25,0.25,0,35.173385623731,0,0,35.173385623731,100,34.173385623731
"32",0.25,0.25,0.25,0.25,32.2080279040059,0,0.25,32.2080279040059,99.5058631116471,31.2419744293554
"33",0.5,0.25,0.25,0.5,30.9797365192081,0,0.5,30.9797365192081,98.9726114943854,30.0499169697165
"34",0.75,0.25,0.25,0.75,30.0372353905506,0,0.75,30.0372353905506,98.4107537368332,29.1452499794126
