"","x","prob","psd","var"
"1",0,0.000177777777777778,0.000177761974606248,"x1"
"2",0,0,0,"x2"
"3",0,0,0,"x3"
"4",0.0135135135135135,0.00444444444444444,0.000886911380568638,"x1"
"5",0.0135135135135135,0,0,"x2"
"6",0.0135135135135135,0,0,"x3"
"7",0.027027027027027,0.00657777777777778,0.00107781759885708,"x1"
"8",0.027027027027027,0,0,"x2"
"9",0.027027027027027,0,0,"x3"
"10",0.0405405405405405,0.008,0.00118778973073707,"x1"
"11",0.0405405405405405,0,0,"x2"
"12",0.0405405405405405,0,0,"x3"
"13",0.0540540540540541,0.0101333333333333,0.00133537502939654,"x1"
"14",0.0540540540540541,0,0,"x2"
"15",0.0540540540540541,0,0,"x3"
"16",0.0675675675675676,0.0108444444444444,0.00138093961371787,"x1"
"17",0.0675675675675676,0.0096,0.0013001087134031,"x2"
"18",0.0675675675675676,0.0096,0.0013001087134031,"x3"
"19",0.0810810810810811,0.0122666666666667,0.00146764788726304,"x1"
"20",0.0810810810810811,0.0323555555555556,0.00235923428558211,"x2"
"21",0.0810810810810811,0.0323555555555556,0.00235923428558211,"x3"
"22",0.0945945945945946,0.0122666666666667,0.00146764788726304,"x1"
"23",0.0945945945945946,0.0504888888888889,0.00291935338312836,"x2"
"24",0.0945945945945946,0.0504888888888889,0.00291935338312836,"x3"
"25",0.108108108108108,0.0129777777777778,0.00150904561814433,"x1"
"26",0.108108108108108,0.056,0.00306562301081598,"x2"
"27",0.108108108108108,0.056,0.00306562301081598,"x3"
"28",0.121621621621622,0.0158222222222222,0.00166383116163592,"x1"
"29",0.121621621621622,0.0556444444444444,0.00305645081744354,"x2"
"30",0.121621621621622,0.0556444444444444,0.00305645081744354,"x3"
"31",0.135135135135135,0.0158222222222222,0.00166383116163592,"x1"
"32",0.135135135135135,0.0497777777777778,0.00289980690904401,"x2"
"33",0.135135135135135,0.0497777777777778,0.00289980690904401,"x3"
"34",0.148648648648649,0.0172444444444444,0.00173574568440563,"x1"
"35",0.148648648648649,0.032,0.00234666666666667,"x2"
"36",0.148648648648649,0.032,0.00234666666666667,"x3"
"37",0.162162162162162,0.0172444444444444,0.00173574568440563,"x1"
"38",0.162162162162162,0.0117333333333333,0.0014357754217594,"x2"
"39",0.162162162162162,0.0117333333333333,0.0014357754217594,"x3"
"40",0.175675675675676,0.0186666666666667,0.00180459769464171,"x1"
"41",0.175675675675676,0,0,"x2"
"42",0.175675675675676,0,0,"x3"
"43",0.189189189189189,0.0222222222222222,0.00196540728317357,"x1"
"44",0.189189189189189,0,0,"x2"
"45",0.189189189189189,0,0,"x3"
"46",0.202702702702703,0.0236444444444444,0.00202585004123572,"x1"
"47",0.202702702702703,0,0,"x2"
