"","x","prob","var","cond"
"25%",0,0.0157768130162643,"x1","None"
"25%1",0.0204081632653061,0.0246268425830532,"x1","None"
"25%2",0.0408163265306122,0.0292296298032658,"x1","None"
"25%3",0.0612244897959184,0.02249738190008,"x1","None"
"25%4",0.0816326530612245,0.0370114047489963,"x1","None"
"25%5",0.102040816326531,0.0396460190751782,"x1","None"
"25%6",0.122448979591837,0.0319956191048649,"x1","None"
"25%7",0.142857142857143,0.0365962847996411,"x1","None"
"25%8",0.163265306122449,0.051365560571146,"x1","None"
"25%9",0.183673469387755,0.0524236599640399,"x1","None"
"25%10",0.204081632653061,0.0430466876348963,"x1","None"
"25%11",0.224489795918367,0.0483320186339666,"x1","None"
"25%12",0.244897959183673,0.0564606561746935,"x1","None"
"25%13",0.26530612244898,0.0612688890598348,"x1","None"
"25%14",0.285714285714286,0.0483297867274834,"x1","None"
"25%15",0.306122448979592,0.056945960123192,"x1","None"
"25%16",0.326530612244898,0.0468557921398831,"x1","None"
"25%17",0.346938775510204,0.0608947762250022,"x1","None"
"25%18",0.36734693877551,0.0667233730823644,"x1","None"
"25%19",0.387755102040816,0.0631011267425975,"x1","None"
"25%20",0.408163265306122,0.0680021929312269,"x1","None"
"25%21",0.428571428571429,0.0676787456785225,"x1","None"
"25%22",0.448979591836735,0.0719992268628348,"x1","None"
"25%23",0.469387755102041,0.0674984402725613,"x1","None"
"25%24",0.489795918367347,0.0801489505917628,"x1","None"
"25%25",0.510204081632653,0.0721087313986172,"x1","None"
"25%26",0.530612244897959,0.0678330708326183,"x1","None"
"25%27",0.551020408163265,0.0676441260852598,"x1","None"
"25%28",0.571428571428571,0.0753624187083883,"x1","None"
"25%29",0.591836734693878,0.0673374022533594,"x1","None"
"25%30",0.612244897959184,0.0721822334190026,"x1","None"
"25%31",0.63265306122449,0.0770213128388497,"x1","None"
"25%32",0.653061224489796,0.0798793020934748,"x1","None"
"25%33",0.673469387755102,0.0736975777522266,"x1","None"
"25%34",0.693877551020408,0.0817045739228737,"x1","None"
"25%35",0.714285714285714,0.0712606208993866,"x1","None"
"25%36",0.73469387755102,0.0765024295904396,"x1","None"
"25%37",0.755102040816326,0.0698702357630179,"x1","None"
"25%38",0.775510204081633,0.0870732851098915,"x1","None"
"25%39",0.795918367346939,0.078780131854215,"x1","None"
"25%40",0.816326530612245,0.0860004165158649,"x1","None"
"25%41",0.836734693877551,0.0826657293818566,"x1","None"
"25%42",0.857142857142857,0.0724163512704956,"x1","None"
"25%43",0.877551020408163,0.0740306271263841,"x1","None"
"25%44",0.897959183673469,0.0835282969687497,"x1","None"
"25%45",0.918367346938775,0.0881405814168175,"x1","None"
"25%46",0.938775510204082,0.082416369465657,"x1","None"
"25%47",0.959183673469388,0.0967056127830027,"x1","None"
"25%48",0.979591836734694,0.0838228229191558,"x1","None"
"25%49",1,0.0790342683267858,"x1","None"
"25%50",0,0.371570617747099,"x2","None"
"25%110",0.0204081632653061,0.348973727645909,"x2","None"
"25%210",0.0408163265306122,0.321421755561227,"x2","None"
"25%310",0.0612244897959184,0.276456557589106,"x2","None"
"25%410",0.0816326530612245,0.29718657927759,"x2","None"
"25%51",0.102040816326531,0.241939618338211,"x2","None"
"25%61",0.122448979591837,0.229234452034053,"x2","None"
"25%71",0.142857142857143,0.215318316675954,"x2","None"
"25%81",0.163265306122449,0.196122935640791,"x2","None"
"25%91",0.183673469387755,0.157538840789154,"x2","None"
"25%101",0.204081632653061,0.138722291622174,"x2","None"
"25%111",0.224489795918367,0.116127488600554,"x2","None"
"25%121",0.244897959183673,0.11579679484294,"x2","None"
"25%131",0.26530612244898,0.0878636946119362,"x2","None"
"25%141",0.285714285714286,0.0747717978129931,"x2","None"
"25%151",0.306122448979592,0.0489067151364947,"x2","None"
"25%161",0.326530612244898,0.0445365962025134,"x2","None"
"25%171",0.346938775510204,0.0303432918879517,"x2","None"
"25%181",0.36734693877551,0.0108039924466791,"x2","None"
"25%191",0.387755102040816,0.00533125577564676,"x2","None"
"25%201",0.408163265306122,0.000772568583039602,"x2","None"
"25%211",0.428571428571429,2.82449067061733e-56,"x2","None"
"25%221",0.448979591836735,5.94458740294164e-146,"x2","None"
"25%231",0.469387755102041,4.4454222922857e-295,"x2","None"
"25%241",0.489795918367347,0,"x2","None"
"25%251",0.510204081632653,0,"x2","None"
"25%261",0.530612244897959,0,"x2","None"
"25%271",0.551020408163265,0,"x2","None"
"25%281",0.571428571428571,0,"x2","None"
"25%291",0.591836734693878,0,"x2","None"
"25%301",0.612244897959184,0,"x2","None"
"25%311",0.63265306122449,0,"x2","None"
"25%321",0.653061224489796,0,"x2","None"
"25%331",0.673469387755102,0,"x2","None"
"25%341",0.693877551020408,0,"x2","None"
"25%351",0.714285714285714,0,"x2","None"
"25%361",0.73469387755102,0,"x2","None"
"25%371",0.755102040816326,0,"x2","None"
"25%381",0.775510204081633,0,"x2","None"
"25%391",0.795918367346939,0,"x2","None"
"25%401",0.816326530612245,0,"x2","None"
"25%411",0.836734693877551,0,"x2","None"
"25%421",0.857142857142857,0,"x2","None"
"25%431",0.877551020408163,0,"x2","None"
"25%441",0.897959183673469,0,"x2","None"
"25%451",0.918367346938775,0,"x2","None"
"25%461",0.938775510204082,0,"x2","None"
"25%471",0.959183673469388,0,"x2","None"
"25%481",0.979591836734694,0,"x2","None"
"25%491",1,0,"x2","None"
"1",0,0.137913869251875,"x1","|x2"
"2",0.0204081632653061,0.156909860693277,"x1","|x2"
"3",0.0408163265306122,0.176482897605297,"x1","|x2"
"4",0.0612244897959184,0.167724272077549,"x1","|x2"
"5",0.0816326530612245,0.163917938647154,"x1","|x2"
"6",0.102040816326531,0.184702935143079,"x1","|x2"
"7",0.122448979591837,0.195837497171405,"x1","|x2"
"8",0.142857142857143,0.187885387429521,"x1","|x2"
"9",0.163265306122449,0.208379622411335,"x1","|x2"
"10",0.183673469387755,0.209959122261786,"x1","|x2"
"11",0.204081632653061,0.21130155641339,"x1","|x2"
"12",0.224489795918367,0.235632147162594,"x1","|x2"
"13",0.244897959183673,0.249070161873956,"x1","|x2"
"14",0.26530612244898,0.238253399264712,"x1","|x2"
"15",0.285714285714286,0.241192671803663,"x1","|x2"
"16",0.306122448979592,0.284170923947674,"x1","|x2"
"17",0.326530612244898,0.262637674712265,"x1","|x2"
"18",0.346938775510204,0.275854999039679,"x1","|x2"
"19",0.36734693877551,0.255358155788657,"x1","|x2"
"20",0.387755102040816,0.275665596576562,"x1","|x2"
"21",0.408163265306122,0.269382706936231,"x1","|x2"
"22",0.428571428571429,0.286993182371234,"x1","|x2"
"23",0.448979591836735,0.262132453940947,"x1","|x2"
"24",0.469387755102041,0.297013310316931,"x1","|x2"
"25",0.489795918367347,0.302275491350791,"x1","|x2"
"26",0.510204081632653,0.285859762499325,"x1","|x2"
"27",0.530612244897959,0.284970350759742,"x1","|x2"
"28",0.551020408163265,0.311495948442375,"x1","|x2"
"29",0.571428571428571,0.308760459968722,"x1","|x2"
"30",0.591836734693878,0.302006178685518,"x1","|x2"
"31",0.612244897959184,0.305807365407492,"x1","|x2"
"32",0.63265306122449,0.321177493936618,"x1","|x2"
"33",0.653061224489796,0.294377688269162,"x1","|x2"
"34",0.673469387755102,0.320044080365385,"x1","|x2"
"35",0.693877551020408,0.332764460677681,"x1","|x2"
"36",0.714285714285714,0.313248537542375,"x1","|x2"
"37",0.73469387755102,0.321953694558995,"x1","|x2"
"38",0.755102040816326,0.314075448505129,"x1","|x2"
"39",0.775510204081633,0.335255364488057,"x1","|x2"
"40",0.795918367346939,0.298154735135598,"x1","|x2"
"41",0.816326530612245,0.32366598015173,"x1","|x2"
"42",0.836734693877551,0.328758487556038,"x1","|x2"
"43",0.857142857142857,0.312162767933288,"x1","|x2"
"44",0.877551020408163,0.315666316827194,"x1","|x2"
"45",0.897959183673469,0.325832227616435,"x1","|x2"
"46",0.918367346938775,0.347167352975681,"x1","|x2"
"47",0.938775510204082,0.32093484686896,"x1","|x2"
"48",0.959183673469388,0.319673381126733,"x1","|x2"
"49",0.979591836734694,0.32750240248263,"x1","|x2"
"50",1,0.333333839493539,"x1","|x2"
"110",0,0.748580663398234,"x1","|x2, x3"
"210",0.0204081632653061,0.761917160386036,"x1","|x2, x3"
"310",0.0408163265306122,0.809869783631845,"x1","|x2, x3"
"410",0.0612244897959184,0.841730151672957,"x1","|x2, x3"
"52",0.0816326530612245,0.874416228903921,"x1","|x2, x3"
"61",0.102040816326531,0.901958533064983,"x1","|x2, x3"
"71",0.122448979591837,0.924497334408959,"x1","|x2, x3"
"81",0.142857142857143,0.929901579260913,"x1","|x2, x3"
"91",0.163265306122449,0.94288953820711,"x1","|x2, x3"
"101",0.183673469387755,0.953947522924286,"x1","|x2, x3"
"111",0.204081632653061,0.981563723654371,"x1","|x2, x3"
"121",0.224489795918367,0.977246023361434,"x1","|x2, x3"
"131",0.244897959183673,0.989447497618151,"x1","|x2, x3"
"141",0.26530612244898,0.995036733174818,"x1","|x2, x3"
"151",0.285714285714286,0.994600696844138,"x1","|x2, x3"
"161",0.306122448979592,0.998412659045056,"x1","|x2, x3"
"171",0.326530612244898,0.999980944444742,"x1","|x2, x3"
"181",0.346938775510204,1,"x1","|x2, x3"
"191",0.36734693877551,1,"x1","|x2, x3"
"201",0.387755102040816,1,"x1","|x2, x3"
"211",0.408163265306122,1,"x1","|x2, x3"
"221",0.428571428571429,1,"x1","|x2, x3"
"231",0.448979591836735,1,"x1","|x2, x3"
"241",0.469387755102041,1,"x1","|x2, x3"
"251",0.489795918367347,1,"x1","|x2, x3"
"261",0.510204081632653,1,"x1","|x2, x3"
"271",0.530612244897959,1,"x1","|x2, x3"
"281",0.551020408163265,1,"x1","|x2, x3"
