"","x","prob","psd","var","cat"
"1",0,0.000177777777777778,0.000177761974606248,"x1","tru"
"2",0,0.217955555555556,0.00550476046681254,"x2","tru"
"3",0,0.217955555555556,0.00550476046681254,"x3","tru"
"4",0.0135135135135135,0.00106666666666667,0.000435232533279271,"x1","tru"
"5",0.0135135135135135,0.204622222222222,0.00537900392918923,"x2","tru"
"6",0.0135135135135135,0.204622222222222,0.00537900392918923,"x3","tru"
"7",0.027027027027027,0.00106666666666667,0.000435232533279271,"x1","tru"
"8",0.027027027027027,0.191466666666667,0.00524607251565456,"x2","tru"
"9",0.027027027027027,0.191466666666667,0.00524607251565456,"x3","tru"
"10",0.0405405405405405,0.00177777777777778,0.000561682754895302,"x1","tru"
"11",0.0405405405405405,0.178311111111111,0.00510365897093765,"x2","tru"
"12",0.0405405405405405,0.178311111111111,0.00510365897093765,"x3","tru"
"13",0.0540540540540541,0.00266666666666667,0.000687611719317821,"x1","tru"
"14",0.0540540540540541,0.165511111111111,0.00495521603000092,"x2","tru"
"15",0.0540540540540541,0.165511111111111,0.00495521603000092,"x3","tru"
"16",0.0675675675675676,0.00266666666666667,0.000687611719317821,"x1","tru"
"17",0.0675675675675676,0.152888888888889,0.00479840485612014,"x2","tru"
"18",0.0675675675675676,0.152888888888889,0.00479840485612014,"x3","tru"
"19",0.0810810810810811,0.00373333333333333,0.000813157965307608,"x1","tru"
"20",0.0810810810810811,0.140622222222222,0.00463508576623525,"x2","tru"
"21",0.0810810810810811,0.140622222222222,0.00463508576623525,"x3","tru"
"22",0.0945945945945946,0.00373333333333333,0.000813157965307608,"x1","tru"
"23",0.0945945945945946,0.128711111111111,0.0044650656033534,"x2","tru"
"24",0.0945945945945946,0.128711111111111,0.0044650656033534,"x3","tru"
"25",0.108108108108108,0.00497777777777778,0.000938367329749836,"x1","tru"
"26",0.108108108108108,0.117155555555556,0.00428807403248746,"x2","tru"
"27",0.108108108108108,0.117155555555556,0.00428807403248746,"x3","tru"
"28",0.121621621621622,0.00497777777777778,0.000938367329749836,"x1","tru"
"29",0.121621621621622,0.105955555555556,0.00410374302428013,"x2","tru"
"30",0.121621621621622,0.105955555555556,0.00410374302428013,"x3","tru"
"31",0.135135135135135,0.0064,0.00106324785445351,"x1","tru"
