"","x","prob","var","cond"
"1",0,0,"x1",0
"2",0.0204081632653061,1.69738188654619e-16,"x1",0
"3",0.0408163265306122,3.44972931054312e-05,"x1",0
"4",0.0612244897959184,6.71158201381753e-05,"x1",0
"5",0.0816326530612245,7.55562578912159e-05,"x1",0
"6",0.102040816326531,0.00443301448190341,"x1",0
"7",0.122448979591837,0.00266492098549802,"x1",0
"8",0.142857142857143,0.00233105628849738,"x1",0
"9",0.163265306122449,0.00697519669771277,"x1",0
"10",0.183673469387755,0.00703294950219445,"x1",0
"11",0.204081632653061,0.00960313148505577,"x1",0
"12",0.224489795918367,0.0090706361814425,"x1",0
"13",0.244897959183673,0.00902605909141807,"x1",0
"14",0.26530612244898,0.0158606561041489,"x1",0
"15",0.285714285714286,0.0134959346676542,"x1",0
"16",0.306122448979592,0.009508350683877,"x1",0
"17",0.326530612244898,0.0131847431339573,"x1",0
"18",0.346938775510204,0.0146518551569316,"x1",0
"19",0.36734693877551,0.0117866537243407,"x1",0
"20",0.387755102040816,0.00917724689714562,"x1",0
"21",0.408163265306122,0.0117894454512397,"x1",0
"22",0.428571428571429,0.0179560874185187,"x1",0
"23",0.448979591836735,0.0193832764482843,"x1",0
"24",0.469387755102041,0.0136404602024563,"x1",0
"25",0.489795918367347,0.0162236028759541,"x1",0
"26",0.510204081632653,0.0200790429185448,"x1",0
"27",0.530612244897959,0.016336699296392,"x1",0
"28",0.551020408163265,0.0164212207631857,"x1",0
"29",0.571428571428571,0.0209638954974725,"x1",0
"30",0.591836734693878,0.0120827269844798,"x1",0
"31",0.612244897959184,0.0182765525048842,"x1",0
"32",0.63265306122449,0.0188602987083136,"x1",0
"33",0.653061224489796,0.015195987707792,"x1",0
"34",0.673469387755102,0.0194950316854817,"x1",0
"35",0.693877551020408,0.021912830082463,"x1",0
"36",0.714285714285714,0.0176631042402264,"x1",0
"37",0.73469387755102,0.0136710586923211,"x1",0
"38",0.755102040816326,0.0163370380653441,"x1",0
"39",0.775510204081633,0.014181031337558,"x1",0
"40",0.795918367346939,0.0175709168119576,"x1",0
"41",0.816326530612245,0.0121034454615022,"x1",0
"42",0.836734693877551,0.0106459214847509,"x1",0
"43",0.857142857142857,0.00843007675297557,"x1",0
"44",0.877551020408163,0.0114855173433036,"x1",0
"45",0.897959183673469,0.00531998319571641,"x1",0
"46",0.918367346938775,0.00542924666557211,"x1",0
"47",0.938775510204082,0.00366859766504202,"x1",0
"48",0.959183673469388,0.00139431777142306,"x1",0
"49",0.979591836734694,0.000236712798243394,"x1",0
"50",1,3.32408375600363e-38,"x1",0
"51",0,0.122300172292903,"x2",0
"52",0.0204081632653061,0.101030691174231,"x2",0
"53",0.0408163265306122,0.0936715955262601,"x2",0
"54",0.0612244897959184,0.0743632339685622,"x2",0
"55",0.0816326530612245,0.0695577742777975,"x2",0
