"","x1","x2","x3","f1","f2","f1.norm","f2.norm"
"1",0,0,0,0,1,0,1
"32",0.00776598467852516,0,0,0.00776598467852516,0.911875175583011,0.00776598467852516,0.911875175583011
"93",0.00936301279958479,0,0,0.00936301279958479,0.903237337781638,0.00936301279958479,0.903237337781638
"16",0.0197420747769781,0,0,0.0197420747769781,0.859493506281816,0.0197420747769781,0.859493506281816
"46",0.0303744063327692,0,0,0.0303744063327692,0.825717452586987,0.0303744063327692,0.825717452586987
"10",0.0418686594302746,0,0,0.0418686594302746,0.795381673767293,0.0418686594302746,0.795381673767293
"35",0.0539931859951898,0,0,0.0539931859951898,0.76763566109407,0.0539931859951898,0.76763566109407
"62",0.0592660266655717,0,0,0.0592660266655717,0.756553852637649,0.0592660266655717,0.756553852637649
"22",0.070347893203825,0,0,0.070347893203825,0.734768227386263,0.070347893203825,0.734768227386263
"78",0.0703579622038193,0,0,0.0703579622038193,0.73474924655372,0.0703579622038193,0.73474924655372
"45",0.082636843409159,6.73426283007938e-06,0,0.082636843409159,0.712559701074935,0.082636843409159,0.712559701074935
"4",0.0960218769141476,0,0,0.0960218769141476,0.69012603059607,0.0960218769141476,0.69012603059607
"80",0.107421607297916,0,0,0.107421607297916,0.672247643337357,0.107421607297916,0.672247643337357
"52",0.107443703680121,8.7361028512125e-06,0,0.107443703680121,0.672246805598003,0.107443703680121,0.672246805598003
"27",0.119313587800324,0,0,0.119313587800324,0.65458201002217,0.119313587800324,0.65458201002217
"69",0.119323607165561,0,0,0.119323607165561,0.654567507079081,0.119323607165561,0.654567507079081
"77",0.130475521689704,0,0,0.130475521689704,0.638786044442211,0.130475521689704,0.638786044442211
"54",0.130487960452686,0,0,0.130487960452686,0.638768826853653,0.130487960452686,0.638768826853653
"15",0.142437443295716,0,0,0.142437443295716,0.622591145711026,0.142437443295716,0.622591145711026
"90",0.150577223519892,2.84481411581443e-07,0,0.150577223519892,0.611958220334344,0.150577223519892,0.611958220334344
"34",0.161022550624265,0,0,0.161022550624265,0.598723847426408,0.161022550624265,0.598723847426408
"58",0.171432479009557,0,0,0.171432479009557,0.585955945569126,0.171432479009557,0.585955945569126
"89",0.182648618588014,0,0,0.182648618588014,0.572625903232292,0.182648618588014,0.572625903232292
"12",0.182658627935371,0,0,0.182658627935371,0.572614193104906,0.182658627935371,0.572614193104906
"70",0.196672625688567,0,0,0.196672625688567,0.556522124916511,0.196672625688567,0.556522124916511
"50",0.196682663201205,0,0,0.196682663201205,0.556510808247591,0.196682663201205,0.556510808247591
"74",0.212464361098757,0,0,0.212464361098757,0.539061434572071,0.212464361098757,0.539061434572071
"24",0.212474361799547,0,0,0.212474361799547,0.539050586506994,0.212474361799547,0.539050586506994
"49",0.227179770213836,0,0,0.227179770213836,0.523366209534159,0.227179770213836,0.523366209534159
"96",0.244094455196112,0,0,0.244094455196112,0.505940838364359,0.244094455196112,0.505940838364359
"67",0.244104938984567,0,0,0.244104938984567,0.505930228627001,0.244104938984567,0.505930228627001
"8",0.244114944923272,0,0,0.244114944923272,0.505920102692619,0.244114944923272,0.505920102692619
"37",0.262237873256189,0,0,0.262237873256189,0.487908335103773,0.262237873256189,0.487908335103773
